id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
1,01,0101,1,LAHY,Éric,M.,EXG,Extrême gauche
2,01,0101,2,MAÎTRE,Christophe,M.,RN,Rassemblement National
3,01,0101,3,BRETON,Xavier,M.,LR,Les Républicains
4,01,0101,4,GUERAUD,Sébastien,M.,UG,Union de la gauche
5,01,0101,5,VINCENT,Cyril,M.,DSV,Droite souverainiste
6,01,0101,6,MENDES,Michael,M.,DSV,Droite souverainiste
7,01,0101,7,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle)
8,01,0102,1,KOTARAC,Andréa,M.,RN,Rassemblement National
9,01,0102,2,DAUBIÉ,Romain,M.,DVC,Divers centre
10,01,0102,3,EYRAUD,Olivier,M.,EXD,Extrême droite
11,01,0102,4,GOUTAGNY,Vincent,M.,EXG,Extrême gauche
12,01,0102,5,MEYER,Maxime,M.,UG,Union de la gauche
13,01,0102,6,NANCHI,Alexandre,M.,LR,Les Républicains
14,01,0103,1,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle)
15,01,0103,2,JOLIE,Christian,M.,UG,Union de la gauche
16,01,0103,3,VEILLEROT,Annick,Mme,DSV,Droite souverainiste
17,01,0103,4,MAISONNETTE,Cécile,Mme,EXG,Extrême gauche
18,01,0103,5,UNAL,Khadija,Mme,LR,Les Républicains
19,01,0103,6,DUBARRY,Karine,Mme,RN,Rassemblement National
20,01,0103,7,TONIZZO,Sofia,Mme,DIV,Divers
21,01,0103,8,KOUASSI,Fulgence,M.,DIV,Divers
22,01,0104,1,LIOTIER,Charline,Mme,UG,Union de la gauche
23,01,0104,2,BRESSON,Yannick,M.,DIV,Divers
24,01,0104,3,NICAUD,Jérémy,M.,DIV,Divers
25,01,0104,4,COUSSON,Sylvain,M.,EXG,Extrême gauche
26,01,0104,5,COQUELET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
27,01,0104,6,BUISSON,Jérôme,M.,RN,Rassemblement National
28,01,0104,7,BILLOUDET,Guy,M.,LR,Les Républicains
29,01,0105,1,CHATELARD,Thomas,M.,ECO,Ecologistes
30,01,0105,2,CROZET,Sylvie,Mme,EXG,Extrême gauche
31,01,0105,3,BOURDIN,Fabrice,M.,LR,Les Républicains
32,01,0105,4,PISANI,Florence,Mme,UG,Union de la gauche
33,01,0105,5,ABAD,Damien,M.,DVD,Divers droite
34,01,0105,6,DESCOURS,Nathalie,Mme,ENS,Ensemble ! (Majorité présidentielle)
35,01,0105,7,PATRU,Maria Cristina,Mme,REC,Reconquête !
36,01,0105,8,CHAVENT,Marc,M.,UXD,Union de l'extrême droite
37,02,0201,1,CULIOLI,Charles,M.,UG,Union de la gauche
38,02,0201,2,TRÉGUIER,Philippe,M.,REC,Reconquête !
39,02,0201,3,BOUFFLET,Matthieu Léon,M.,DIV,Divers
40,02,0201,4,DRAGON,Nicolas,M.,RN,Rassemblement National
41,02,0201,5,PERNELLE,Jean-Loup,M.,EXG,Extrême gauche
42,02,0201,6,DELAVENNE,Damien,M.,ENS,Ensemble ! (Majorité présidentielle)
43,02,0202,1,DIVE,Julien,M.,LR,Les Républicains
44,02,0202,2,BÉCOURT,Corinne,Mme,EXG,Extrême gauche
45,02,0202,3,DUJANCOURT,Anne-Sophie,Mme,UG,Union de la gauche
46,02,0202,4,ZANDITÉNAS,Anne-Catherine,Mme,EXG,Extrême gauche
47,02,0202,5,TORRE,Philippe,M.,RN,Rassemblement National
48,02,0202,6,KACZMAREK,Didier,M.,REC,Reconquête !
49,02,0203,1,FOURNIER,Anne-Marie,Mme,REC,Reconquête !
50,02,0203,2,CRÉON,Damien,M.,DSV,Droite souverainiste
51,02,0203,3,BRICOUT,Jean-Louis,M.,DVG,Divers gauche
52,02,0203,4,VOISIN,Laetitia,Mme,EXG,Extrême gauche
53,02,0203,5,CASTERMAN,Eddy,M.,EXD,Extrême droite
54,02,0204,1,PRIÉ,Lola,Mme,UG,Union de la gauche
55,02,0204,2,MAURICE,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle)
56,02,0204,3,BEAURAIN,José,M.,RN,Rassemblement National
57,02,0204,4,BOUILLAGUET,Flora,Mme,EXG,Extrême gauche
58,02,0204,5,GOUJARD,Philippe,M.,EXD,Extrême droite
59,02,0205,1,DESSIGNY,Jocelyn,M.,RN,Rassemblement National
60,02,0205,2,GILQUIN,Jade,Mme,LR,Les Républicains
61,02,0205,3,BELAÏD,Karim,M.,UG,Union de la gauche
62,02,0205,4,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle)
63,02,0205,5,MERBOUCHE,Yona,Mme,EXG,Extrême gauche
64,03,0301,1,AGEZ,Blandine,Mme,REC,Reconquête !
65,03,0301,2,MONNET,Yannick,M.,UG,Union de la gauche
66,03,0301,3,GUILLAUMIN,Jean-Marie,M.,UDI,Union des Démocrates et Indépendants
67,03,0301,4,COLLOT,Jean-Marc,M.,EXG,Extrême gauche
68,03,0301,5,LARZAT,Stephane,M.,ENS,Ensemble ! (Majorité présidentielle)
69,03,0301,6,BARDET,Alexandra,Mme,LR,Les Républicains
70,03,0301,7,THÈS,Anne-Marie,Mme,RN,Rassemblement National
71,03,0302,1,BOVET,Jorys,M.,RN,Rassemblement National
72,03,0302,2,LEFEBVRE,Romain,M.,LR,Les Républicains
73,03,0302,3,HERITIER,Louise,Mme,UG,Union de la gauche
74,03,0302,4,GONÇALVES,Alice,Mme,REC,Reconquête !
75,03,0302,5,ROUSSEAUX,Nicolas,M.,DVD,Divers droite
76,03,0302,6,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle)
77,03,0302,7,LEBEL,Bernard,M.,EXG,Extrême gauche
78,03,0303,1,RAY,Nicolas,M.,LR,Les Républicains
79,03,0303,2,QUENEY,Rémy,M.,RN,Rassemblement National
80,03,0303,3,RAMEAU,Jean-François,M.,EXG,Extrême gauche
81,03,0303,4,JEUDI,Aline,Mme,UG,Union de la gauche
82,04,0401,1,LAKHLEF TSALAMLAL,Nadia,Mme,UDI,Union des Démocrates et Indépendants
83,04,0401,2,RAPONI,Sandra,Mme,LR,Les Républicains
84,04,0401,3,ROS,Annabel,Mme,EXG,Extrême gauche
85,04,0401,4,CAMPART,Patricia,Mme,REC,Reconquête !
86,04,0401,5,GIRARD,Christian,M.,RN,Rassemblement National
87,04,0401,6,BLANC,Felix,M.,UG,Union de la gauche
88,04,0401,7,GAUVAN,Benoit,M.,ENS,Ensemble ! (Majorité présidentielle)
89,04,0402,1,REYNAUD,Loan,M.,DVD,Divers droite
90,04,0402,2,VAGINAY,Sophie,Mme,UXD,Union de l'extrême droite
91,04,0402,3,CYVOCT,Henri,M.,EXG,Extrême gauche
92,04,0402,4,WALTER,Léo,M.,UG,Union de la gauche
93,04,0402,5,BLANC,Dominique,Mme,ENS,Ensemble ! (Majorité présidentielle)
94,04,0402,6,CADENEL,Myriam,Mme,REC,Reconquête !
95,05,0501,1,SAINTE-MARIE,Jérôme,M.,RN,Rassemblement National
96,05,0501,2,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle)
97,05,0501,3,ALLEMAND,Marie-José,Mme,UG,Union de la gauche
98,05,0501,4,BUISSON,Véronique,Mme,EXG,Extrême gauche
99,05,0501,5,DEININGER,Dorian,M.,LR,Les Républicains
100,05,0502,1,GUIGNARD,Boris,M.,EXG,Extrême gauche
101,05,0502,2,FINE,Sébastien,M.,ENS,Ensemble ! (Majorité présidentielle)
102,05,0502,3,ROSSI,Valérie,Mme,UG,Union de la gauche
103,05,0502,4,MONDAIN,Johann,M.,DIV,Divers
104,05,0502,5,ALBRAND,Louis,M.,RN,Rassemblement National
105,06,0601,1,SALERNO,Olivier,M.,UG,Union de la gauche
106,06,0601,2,BOVIS,Maxime,M.,DIV,Divers
107,06,0601,3,BEN MOULAY,Lalla Chama,Mme,ECO,Ecologistes
108,06,0601,4,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle)
109,06,0601,5,LANGOUET,Alain,M.,EXG,Extrême gauche
110,06,0601,6,SPACH,Jean-Claude Wahid,M.,REG,Régionaliste
111,06,0601,7,CIOTTI,Eric,M.,UXD,Union de l'extrême droite
112,06,0601,8,VANIER-GUÉRIN,Virgile,M.,LR,Les Républicains
113,06,0602,1,TONNERRE,Leïla,Mme,UG,Union de la gauche
114,06,0602,2,VARRONE,David,M.,ENS,Ensemble ! (Majorité présidentielle)
115,06,0602,3,PORET-RINCK,Indiana,Mme,EXD,Extrême droite
116,06,0602,4,IMBERT,Florent,M.,EXG,Extrême gauche
117,06,0602,5,MIRAN,Patrice,M.,ECO,Ecologistes
118,06,0602,6,DARAGON,Simon,M.,LR,Les Républicains
119,06,0602,7,TIVOLI,Lionel,M.,RN,Rassemblement National
120,06,0603,1,JAQUET,Estelle,Mme,EXG,Extrême gauche
121,06,0603,2,DELHEZ,Thibault,M.,DSV,Droite souverainiste
122,06,0603,3,QUIGNARD,Laure,Mme,UG,Union de la gauche
123,06,0603,4,CHAIX,Bernard,M.,UXD,Union de l'extrême droite
124,06,0603,5,PRADAL,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
125,06,0603,6,CAUSSIN,Marie Françoise,Mme,ECO,Ecologistes
126,06,0603,7,VIVO,Marjorie,Mme,ECO,Ecologistes
127,06,0604,1,MASSON,Alexandra,Mme,RN,Rassemblement National
128,06,0604,2,BEYL,Christine,Mme,ECO,Ecologistes
129,06,0604,3,GUEDON,Anne-Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle)
130,06,0604,4,MARKIEL,Joseph,M.,EXG,Extrême gauche
131,06,0604,5,PARENT,Virginie,Mme,UG,Union de la gauche
132,06,0605,1,NOFRI,Gaël,M.,ENS,Ensemble ! (Majorité présidentielle)
133,06,0605,2,D'INTORNI,Christelle,Mme,UXD,Union de l'extrême droite
134,06,0605,3,BENOIT,Patrice,M.,DIV,Divers
135,06,0605,4,DECOUPIGNY,Fabrice,M.,UG,Union de la gauche
136,06,0605,5,BENKEMOUN,Agnès,Mme,EXG,Extrême gauche
137,06,0605,6,HVIDSTEN,Axel,M.,ECO,Ecologistes
138,06,0606,1,BARTOLI,Daniele,Mme,EXG,Extrême gauche
139,06,0606,2,MAZZELLA,Nicole,Mme,UG,Union de la gauche
140,06,0606,3,MASSON,Bryan,M.,RN,Rassemblement National
141,06,0606,4,TRASTOUR-ISNART,Laurence,Mme,LR,Les Républicains
142,06,0606,5,PIACENTINI,Pierre,M.,ECO,Ecologistes
143,06,0607,1,FERRAND,Thierry,M.,RN,Rassemblement National
144,06,0607,2,DEWASMES,Enzo,M.,DIV,Divers
145,06,0607,3,ABRAVANEL,Aline,Mme,ENS,Ensemble ! (Majorité présidentielle)
146,06,0607,4,PETARD,Christian,M.,EXG,Extrême gauche
147,06,0607,5,ZBIROU,Marylin,Mme,ECO,Ecologistes
148,06,0607,6,PAUGET,Eric,M.,LR,Les Républicains
149,06,0607,7,MEYER-ABBATUCCI,Arthur,M.,UG,Union de la gauche
150,06,0607,8,QUINTELA,David,M.,REC,Reconquête !
151,06,0608,1,LANDERER,Dorette,Mme,RN,Rassemblement National
152,06,0608,2,MARTIN,Alexandra,Mme,LR,Les Républicains
153,06,0608,3,CASTRO DEMARIA,Mike,M.,ENS,Ensemble ! (Majorité présidentielle)
154,06,0608,4,NEUTZLER,Christophe,M.,DIV,Divers
155,06,0608,5,PEREIRA,Marie-José,Mme,EXG,Extrême gauche
156,06,0608,6,SOUDANT,Lucia,Mme,UG,Union de la gauche
157,06,0608,7,ITTY,Anne,Mme,ECO,Ecologistes
158,06,0609,1,GALBERT,Franck,M.,RN,Rassemblement National
159,06,0609,2,PALMERS,Henriette,Mme,ECO,Ecologistes
160,06,0609,3,TABAROT,Michèle,Mme,LR,Les Républicains
161,06,0609,4,LIENHARDT,Sylvain,M.,EXD,Extrême droite
162,06,0609,5,PÉCOUT,Liliane,Mme,EXG,Extrême gauche
163,06,0609,6,GARCIA ABIA,José,M.,UG,Union de la gauche
164,07,0701,1,DORNE,Thierry,M.,DSV,Droite souverainiste
165,07,0701,2,PORQUET,Céline,Mme,RN,Rassemblement National
166,07,0701,3,GINEYS,Séverine,Mme,ENS,Ensemble ! (Majorité présidentielle)
167,07,0701,4,CHAMBONNET,Pascal,M.,EXG,Extrême gauche
168,07,0701,5,VANDER DONCKT,Muriel,Mme,EXG,Extrême gauche
169,07,0701,6,SAULIGNAC,Hervé,M.,UG,Union de la gauche
170,07,0701,7,CHAIX,Marie-Pierre,Mme,LR,Les Républicains
171,07,0701,8,LECLERC,Maryse,Mme,REC,Reconquête !
172,07,0702,1,RITZ,Jacky,M.,DSV,Droite souverainiste
173,07,0702,2,HEYDEL GRILLERE,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle)
174,07,0702,3,VALLON,Jean-Paul,M.,DVD,Divers droite
175,07,0702,4,VICTORY,Michèle,Mme,UG,Union de la gauche
176,07,0702,5,TREBUCHET,Vincent,M.,UXD,Union de l'extrême droite
177,07,0702,6,NODIN,Rémy,M.,DIV,Divers
178,07,0702,7,MONTREYNAUD,Gérard,M.,REC,Reconquête !
179,07,0702,8,JULIEN,Gérard,M.,DIV,Divers
180,07,0702,9,GAILLARD,Michèle,Mme,EXG,Extrême gauche
181,07,0703,1,FAURE,Alexandre,M.,EXG,Extrême gauche
182,07,0703,2,ZAGUEDOUN-REYNAUD,Félix,M.,DIV,Divers
183,07,0703,3,BONNETAIN,Quentin,M.,ENS,Ensemble ! (Majorité présidentielle)
184,07,0703,4,PALLOT,Florence,Mme,UG,Union de la gauche
185,07,0703,5,BRUN,Fabrice,M.,DVD,Divers droite
186,07,0703,6,TOUZET,Laurent,M.,REG,Régionaliste
187,07,0703,7,MARCHISIO,Christophe,M.,EXG,Extrême gauche
188,07,0703,8,GRANGIER,Cyrille,M.,RN,Rassemblement National
189,07,0703,9,MARCESSE,Jacques,M.,REC,Reconquête !
190,08,0801,1,OCTAVE,Nadia,Mme,EXG,Extrême gauche
191,08,0801,2,RENNESSON,Arnaud,M.,DIV,Divers
192,08,0801,3,TERMET,Flavien,M.,RN,Rassemblement National
193,08,0801,4,CHARVET,Christian,M.,EXD,Extrême droite
194,08,0801,5,D'ORGEVILLE,Sonia,Mme,ECO,Ecologistes
195,08,0801,6,MISSET,Sabine,Mme,LR,Les Républicains
196,08,0801,7,LEROUGE,Damien,M.,UG,Union de la gauche
197,08,0801,8,VUIBERT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle)
198,08,0802,1,BENYOUCEF,Patrick,M.,EXG,Extrême gauche
199,08,0802,2,TAKAWE,Mink,Mme,EXG,Extrême gauche
200,08,0802,3,MESTER,Pauline,Mme,RN,Rassemblement National
201,08,0802,4,MATHOT,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
202,08,0802,5,LOYEZ,Gilles,M.,UG,Union de la gauche
203,08,0802,6,CORDIER,Pierre,M.,DVD,Divers droite
204,08,0803,1,AUGIER,Laure,Mme,EXG,Extrême gauche
205,08,0803,2,WARSMANN,Jean-Luc,M.,DVC,Divers centre
206,08,0803,3,ROGER,Isabelle,Mme,RN,Rassemblement National
207,08,0803,4,PERRIN,Sophie,Mme,UG,Union de la gauche
208,09,0901,1,GARNIER,Jean-Marc,M.,RN,Rassemblement National
209,09,0901,2,MASCETTI,Pascal,M.,REC,Reconquête !
210,09,0901,3,LAPEYRE,Gisèle,Mme,EXG,Extrême gauche
211,09,0901,4,FROGER,Martine,Mme,UG,Union de la gauche
212,09,0902,1,DE KERIMEL,Yann,M.,DVD,Divers droite
213,09,0902,2,TESTARD,Théodora,Mme,EXG,Extrême gauche
214,09,0902,3,TARRIEUX-ANTRANIKIAN,Alexandra,Mme,REC,Reconquête !
215,09,0902,4,ALOZY,Michèle,Mme,RN,Rassemblement National
216,09,0902,5,PANIFOUS,Laurent,M.,UG,Union de la gauche
217,10,1001,1,GUITTON,Jordan,M.,RN,Rassemblement National
218,10,1001,2,MANIERI-BIGORGNE,Chris,M.,LR,Les Républicains
219,10,1001,3,BARRY,Alice,Mme,UG,Union de la gauche
220,10,1001,4,PAILLARD,Lionel,M.,EXG,Extrême gauche
221,10,1001,5,BEURY,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
222,10,1002,1,SEBBARI,Samira,Mme,UG,Union de la gauche
223,10,1002,2,FONTAINE-GARCIA,Salomé,Mme,ENS,Ensemble ! (Majorité présidentielle)
224,10,1002,3,BAZIN-MALGRAS,Valérie,Mme,LR,Les Républicains
225,10,1002,4,VALLÉE,Romain,M.,EXG,Extrême gauche
226,10,1002,5,FERRAND,Albéric,M.,RN,Rassemblement National
227,10,1003,1,GIRARDIN,Olivier,M.,UG,Union de la gauche
228,10,1003,2,RICHARD,Olivier,M.,DVD,Divers droite
229,10,1003,3,RANC,Angélique,Mme,RN,Rassemblement National
230,10,1003,4,LEPRINCE,Didier,M.,LR,Les Républicains
231,10,1003,5,SCHERRER,Luc,M.,ENS,Ensemble ! (Majorité présidentielle)
232,10,1003,6,ANDRIEUX,Pascal,M.,EXG,Extrême gauche
233,10,1003,7,COLLOT-TOUZÉ,Nelly,Mme,ECO,Ecologistes
234,11,1101,1,PEREZ,Jean-Claude,M.,ENS,Ensemble ! (Majorité présidentielle)
235,11,1101,2,TURCHETTO,Aurélien,M.,DVG,Divers gauche
236,11,1101,3,GADRAT,Nicole,Mme,EXG,Extrême gauche
237,11,1101,4,COFFINET,Fabrice,M.,REC,Reconquête !
238,11,1101,5,MARIN,Jean-Marc,M.,LR,Les Républicains
239,11,1101,6,AMALRIC,Laure-Nelly,Mme,DVC,Divers centre
240,11,1101,7,FERRÉ,Monique,Mme,REG,Régionaliste
241,11,1101,8,BARTHÈS,Christophe,M.,RN,Rassemblement National
242,11,1101,9,POUTOU,Philippe,M.,UG,Union de la gauche
243,11,1102,1,BREYTON,Christine,Mme,ENS,Ensemble ! (Majorité présidentielle)
244,11,1102,2,LENFANT,Gérard,M.,DIV,Divers
245,11,1102,3,BRUN,Alain,M.,DVD,Divers droite
246,11,1102,4,GRAU,Nicole,Mme,REG,Régionaliste
247,11,1102,5,FALCON,Frédéric,M.,RN,Rassemblement National
248,11,1102,6,VIGIER,Annette,Mme,EXG,Extrême gauche
249,11,1102,7,PEYRE,Alain,M.,REC,Reconquête !
250,11,1102,8,THIVENT,Viviane,Mme,UG,Union de la gauche
251,11,1103,1,GALONNIER,Dominique,M.,EXG,Extrême gauche
252,11,1103,2,CHAMPION,Christine,Mme,UDI,Union des Démocrates et Indépendants
253,11,1103,3,ANDRIEU,Philippe,M.,UG,Union de la gauche
254,11,1103,4,BIANCO,Bernard,M.,DIV,Divers
255,11,1103,5,RANCOULE,Julien,M.,RN,Rassemblement National
256,11,1103,6,SOREL-LESTIN,Sylvie,Mme,ENS,Ensemble ! (Majorité présidentielle)
257,11,1103,7,MARTEEL,Nathalie,Mme,REC,Reconquête !
258,11,1103,8,LECLERC,Jean-François,M.,LR,Les Républicains
259,12,1201,1,THEBAULT,Léon,M.,UG,Union de la gauche
260,12,1201,2,MAZARS,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle)
261,12,1201,3,DA CRUZ,Antoine,M.,DVD,Divers droite
262,12,1201,4,SAINT-AVIT,Arlette,Mme,EXG,Extrême gauche
263,12,1201,5,CHARTIER,Jean-Philippe,M.,RN,Rassemblement National
264,12,1202,1,PAROLIN,Marie-Christine,Mme,RN,Rassemblement National
265,12,1202,2,ALEXANDRE,Laurent,M.,UG,Union de la gauche
266,12,1202,3,ARMET,Jean-Philippe,M.,DSV,Droite souverainiste
267,12,1202,4,EL HEDRI,Lucile,Mme,EXG,Extrême gauche
268,12,1202,5,DEGUARA,Samuel,M.,ENS,Ensemble ! (Majorité présidentielle)
269,12,1203,1,BOUIGUE,Richard,M.,UG,Union de la gauche
270,12,1203,2,ROUSSET,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle)
271,12,1203,3,COMBES,Bernard,M.,EXG,Extrême gauche
272,12,1203,4,NOEL,Thierry,M.,ECO,Ecologistes
273,12,1203,5,FEVRE,Pierre-Antoine,M.,UXD,Union de l'extrême droite
274,13,1301,1,LÉCORCHÉ,Pascaline,Mme,UG,Union de la gauche
275,13,1301,2,GRISETI,Monique,Mme,RN,Rassemblement National
276,13,1301,3,AGRESTI-ROUBACHE,Sabrina,Mme,ENS,Ensemble ! (Majorité présidentielle)
277,13,1301,4,CARAVELLAZI,Céline,Mme,DSV,Droite souverainiste
278,13,1301,5,CECONE,Marc,M.,EXG,Extrême gauche
279,13,1301,6,MOYAL,Salomé,Mme,REC,Reconquête !
280,13,1302,1,GRAFFEO,Jean-Marc,M.,REC,Reconquête !
281,13,1302,2,LHARDIT,Laurent,M.,UG,Union de la gauche
282,13,1302,3,PITOLLAT,Claire,Mme,ENS,Ensemble ! (Majorité présidentielle)
283,13,1302,4,RIOULT,Olivier,M.,RN,Rassemblement National
284,13,1302,5,CARADEC,Laure-Agnès,Mme,LR,Les Républicains
285,13,1302,6,RODINSON,Claudine,Mme,EXG,Extrême gauche
286,13,1302,7,ROCHE POGGI,Hugo,M.,DVG,Divers gauche
287,13,1303,1,KESSACI,Amine,M.,UG,Union de la gauche
288,13,1303,2,GRANDEL,Jacqueline,Mme,EXG,Extrême gauche
289,13,1303,3,DE MONTGOLFIER,Alexia,Mme,ECO,Ecologistes
290,13,1303,4,COLEOU,Juliette,Mme,EXG,Extrême gauche
291,13,1303,5,AYCARD-DIESTE,Celine,Mme,ENS,Ensemble ! (Majorité présidentielle)
292,13,1303,6,KOUBI-FLOTTE,Pierre-Olivier,M.,LR,Les Républicains
293,13,1303,7,LELOUIS,Gisèle,Mme,RN,Rassemblement National
294,13,1303,8,FOURNIER,Bernard,M.,REC,Reconquête !
295,13,1304,1,TREVISAN,Florian,M.,REC,Reconquête !
296,13,1304,2,FERRANDI,Lea Felice,Mme,REG,Régionaliste
297,13,1304,3,DEMONT,Anthony,M.,ECO,Ecologistes
298,13,1304,4,BEHAIRI,Leila,Mme,ECO,Ecologistes
299,13,1304,5,BOMPARD,Manuel,M.,UG,Union de la gauche
300,13,1304,6,TORCHI,Malika,Mme,ENS,Ensemble ! (Majorité présidentielle)
301,13,1304,7,QUINQUIS,Aurélie,Mme,RN,Rassemblement National
302,13,1304,8,BONNET,Isabelle,Mme,EXG,Extrême gauche
303,13,1304,9,VISAGE,Kylian Jacky Jean-Luc,M.,DIV,Divers
304,13,1304,10,IGO,Carime,M.,LR,Les Républicains
305,13,1304,11,PERNICE,Stéphane,M.,EXG,Extrême gauche
306,13,1304,12,FAYE,Eva-Françoise,Mme,DVG,Divers gauche
307,13,1305,1,MALINCONI,Ambroise,M.,LR,Les Républicains
308,13,1305,2,BOUDET,Maxime,M.,ENS,Ensemble ! (Majorité présidentielle)
309,13,1305,3,BLANC,Marcel,M.,REC,Reconquête !
310,13,1305,4,POPELARD,Allan,M.,UG,Union de la gauche
311,13,1305,5,PLEZ,Barthélémy,M.,ECO,Ecologistes
312,13,1305,6,MALHOLE,Nathalie,Mme,EXG,Extrême gauche
313,13,1305,7,LIQUORI,Franck,M.,RN,Rassemblement National
314,13,1305,8,PAPAZIAN,Pauline,Mme,REG,Régionaliste
315,13,1305,9,ZIEBA,Pierre-Frédéric,M.,DIV,Divers
316,13,1305,10,DAVI,Hendrik,M.,DVG,Divers gauche
317,13,1306,1,GIOVANNINI,Sylvie,Mme,REG,Régionaliste
318,13,1306,2,FAYSSAT,Olivier,M.,UXD,Union de l'extrême droite
319,13,1306,3,ASTOLFI,Jeanne,Mme,REC,Reconquête !
320,13,1306,4,COURONNE,Caroline,Mme,ECO,Ecologistes
321,13,1306,5,SLAMA,Alain,M.,EXD,Extrême droite
322,13,1306,6,PERETTI,Sébastien,M.,DIV,Divers
323,13,1306,7,BRUN,Stéphanie,Mme,DVD,Divers droite
324,13,1306,8,ROYER-PERREAUT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle)
325,13,1306,9,MOREL,Corinne,Mme,EXG,Extrême gauche
326,13,1306,10,JUSTE,Christine,Mme,UG,Union de la gauche
327,13,1306,11,ZOUAGHI,Serena,Mme,LR,Les Républicains
328,13,1306,12,JANNONE,Tess,Mme,DVC,Divers centre
329,13,1307,1,SELLOUM,Arezki,M.,RN,Rassemblement National
330,13,1307,2,DELOGU,Sébastien,M.,UG,Union de la gauche
331,13,1307,3,ALBACETE,Ines,Mme,REC,Reconquête !
332,13,1307,4,ATIA,Hayat,Mme,ENS,Ensemble ! (Majorité présidentielle)
333,13,1307,5,BENAMRANE,Hakim,M.,DVG,Divers gauche
334,13,1307,6,PÉCOUT,Danièle,Mme,EXG,Extrême gauche
335,13,1308,1,TONUSSI,Romain,M.,RN,Rassemblement National
336,13,1308,2,BAZZALI,Rémy,M.,EXG,Extrême gauche
337,13,1308,3,BEDDOCK,Alexandre,M.,UG,Union de la gauche
338,13,1308,4,ZULESI,Jean-Marc,M.,ENS,Ensemble ! (Majorité présidentielle)
339,13,1308,5,VOLPINI,Stéphanie,Mme,LR,Les Républicains
340,13,1308,6,FANFAN,Céline,Mme,ECO,Ecologistes
341,13,1308,7,VIGIER,Jeanne,Mme,REC,Reconquête !
342,13,1309,1,MICHEL,Aurélien,M.,LR,Les Républicains
343,13,1309,2,OUGOURLOU-OGLOU,Bernard,M.,UG,Union de la gauche
344,13,1309,3,MAZZONI,Isabelle,Mme,DIV,Divers
345,13,1309,4,SANTUNIONE,Robert,M.,REC,Reconquête !
346,13,1309,5,MÉLIN,Joëlle,Mme,RN,Rassemblement National
347,13,1309,6,CLOREC,Jean-Marie,M.,EXG,Extrême gauche
348,13,1309,7,MAS-FRAISSINET,Bertrand,M.,ENS,Ensemble ! (Majorité présidentielle)
349,13,1309,8,AKSIL,Boualam,M.,ECO,Ecologistes
350,13,1310,1,TAHIRI,Hassan,M.,DIV,Divers
351,13,1310,2,GONZALEZ,José,M.,RN,Rassemblement National
352,13,1310,3,BOURCET-GINER,Véronique,Mme,ENS,Ensemble ! (Majorité présidentielle)
353,13,1310,4,PIERRACCINI,Stephan,M.,LR,Les Républicains
354,13,1310,5,COURTARO,Jean-Philippe,M.,REC,Reconquête !
355,13,1310,6,DESBLANCS,Lucie,Mme,ECO,Ecologistes
356,13,1310,7,KECHRA,Frédéric,M.,EXG,Extrême gauche
357,13,1310,8,BESSAIH,Jimmy,M.,UG,Union de la gauche
358,13,1311,1,ZERGUINE,Fayçal,M.,LR,Les Républicains
359,13,1311,2,MARIA,Charlotte,Mme,EXG,Extrême gauche
360,13,1311,3,BAYLE,Michel,M.,DSV,Droite souverainiste
361,13,1311,4,PENA,Marc,M.,UG,Union de la gauche
362,13,1311,5,FABRE-AUBRESPY,Hervé,M.,RN,Rassemblement National
363,13,1311,6,LAQHILA,Mohamed,M.,ENS,Ensemble ! (Majorité présidentielle)
364,13,1311,7,MEBTOUCHE,Jean François,M.,REC,Reconquête !
365,13,1312,1,ZINI,Raymonde,Mme,REC,Reconquête !
366,13,1312,2,CZURKA,Maryline,Mme,UG,Union de la gauche
367,13,1312,3,AGHEMO,Maxime,M.,LR,Les Républicains
368,13,1312,4,BRETON,Axel,M.,ENS,Ensemble ! (Majorité présidentielle)
369,13,1312,5,ROCHE,François,M.,EXG,Extrême gauche
370,13,1312,6,ALLISIO,Franck,M.,RN,Rassemblement National
371,13,1313,1,FOUQUART,Emmanuel,M.,RN,Rassemblement National
372,13,1313,2,METRAL,Cyril,M.,EXG,Extrême gauche
373,13,1313,3,SCHEREDRE,Olympe,Mme,REC,Reconquête !
374,13,1313,4,DHARRÉVILLE,Pierre,M.,UG,Union de la gauche
