id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3601,95,9501,5,RICHARD,Michel,M.,LR,Les Républicains
3602,95,9501,6,SICARD,Anne,Mme,RN,Rassemblement National
3603,95,9501,7,GÉHAN,Barbara,Mme,EXG,Extrême gauche
3604,95,9501,8,CHANDLER,Émilie,Mme,ENS,Ensemble ! (Majorité présidentielle)
3605,95,9501,9,LAH,Sami,M.,DIV,Divers
3606,95,9502,1,IVANAJ,Alvin,M.,DIV,Divers
3607,95,9502,2,REMY,Nadejda,Mme,RN,Rassemblement National
3608,95,9502,3,LESSAINT,Danièle,Mme,DSV,Droite souverainiste
3609,95,9502,4,OUBAIROUK,Brahim,M.,DIV,Divers
3610,95,9502,5,GAULTIER,Stephane,M.,EXG,Extrême gauche
3611,95,9502,6,HADIZADEH,Ayda,Mme,UG,Union de la gauche
3612,95,9502,7,CASSAN,Éric,M.,EXG,Extrême gauche
3613,95,9502,8,PAIN,Frédéric,M.,LR,Les Républicains
3614,95,9502,9,CHANZY,Philippe,M.,REC,Reconquête !
3615,95,9502,10,VUILLETET,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle)
3616,95,9503,1,SIMONNOT,Alexandre,M.,REC,Reconquête !
3617,95,9503,2,LELAIDIER,Kimberley,Mme,RN,Rassemblement National
3618,95,9503,3,BLASER,Daniel,M.,EXG,Extrême gauche
3619,95,9503,4,MAUREL,Emmanuel,M.,UG,Union de la gauche
3620,95,9503,5,MUNOZ,Juan,M.,EXG,Extrême gauche
3621,95,9503,6,RILHAC,Cécile,Mme,ENS,Ensemble ! (Majorité présidentielle)
3622,95,9503,7,GUÉBIN,Laetitia,Mme,DIV,Divers
3623,95,9503,8,VINCENT,Laetitia,Mme,LR,Les Républicains
3624,95,9503,9,BELMOKHTAR,Samira,Mme,DVG,Divers gauche
3625,95,9503,10,HERBAL,Samira,Mme,ECO,Ecologistes
3626,95,9504,1,MEURANT,Sébastien,M.,UXD,Union de l'extrême droite
3627,95,9504,2,LACOUTURE,Karine,Mme,UG,Union de la gauche
3628,95,9504,3,MARTIN,Antonin,M.,EXG,Extrême gauche
